run_path,setting,K,hidden_size,readout_type,condition,seed,evaluation_split,accuracy,worst_query_accuracy,exact_trial_accuracy,balanced_accuracy,mean_hidden_spikes,trainable_parameters,delay_value_storage_elements,trainable_delay_parameters,model_scalar_storage_elements,neuron_updates_per_trial,dense_synapse_macs_per_trial,decoder_weight_macs_per_trial,mean_synaptic_events_total
runs/exploratory/xor_delay_control_matrix_v1/XOR_d0_h35_K3_sw10_seed0_thr0.3_obsall_time,primary,3,35,mlp,d0,0,val,0.7733333110809326,0.6959999799728394,0.39399999380111694,0.7781170209248861,10.862000465393066,1438,70,0,1508,1400,2800,1330,311.91998958587646
runs/exploratory/xor_delay_control_matrix_v1/XOR_d0_h35_K3_sw10_seed0_thr0.3_obsall_time_rolinear,primary,3,35,linear,d0,0,val,0.7306666374206543,0.6499999761581421,0.37400001287460327,0.7348226308822632,13.234000205993652,178,70,0,248,1400,2800,105,311.91998958587646
runs/exploratory/xor_delay_control_matrix_v1/XOR_d0_h35_K3_sw10_seed1_thr0.3_obsall_time,primary,3,35,mlp,d0,1,val,0.8433333039283752,0.8040000200271606,0.5979999899864197,0.8432744145393372,9.654000282287598,1438,70,0,1508,1400,2800,1330,316.19001388549805
runs/exploratory/xor_delay_control_matrix_v1/XOR_d0_h35_K3_sw10_seed1_thr0.3_obsall_time_rolinear,primary,3,35,linear,d0,1,val,0.746666669845581,0.6399999856948853,0.4020000100135803,0.7461637059847513,7.406000137329102,178,70,0,248,1400,2800,105,316.19001388549805
runs/exploratory/xor_delay_control_matrix_v1/XOR_d0_h35_K3_sw10_seed2_thr0.3_obsall_time,primary,3,35,mlp,d0,2,val,0.8426666855812073,0.7799999713897705,0.621999979019165,0.8444852034250895,9.118000030517578,1438,70,0,1508,1400,2800,1330,311.9899845123291
runs/exploratory/xor_delay_control_matrix_v1/XOR_d0_h35_K3_sw10_seed2_thr0.3_obsall_time_rolinear,primary,3,35,linear,d0,2,val,0.7906666398048401,0.6940000057220459,0.5120000243186951,0.7951273918151855,8.140000343322754,178,70,0,248,1400,2800,105,311.9899845123291
runs/exploratory/xor_delay_control_matrix_v1/XOR_d0_h35_K3_sw10_seed3_thr0.3_obsall_time,primary,3,35,mlp,d0,3,val,0.8346666693687439,0.7940000295639038,0.5680000185966492,0.8357552091280619,12.925999641418457,1438,70,0,1508,1400,2800,1330,316.53998851776123
runs/exploratory/xor_delay_control_matrix_v1/XOR_d0_h35_K3_sw10_seed3_thr0.3_obsall_time_rolinear,primary,3,35,linear,d0,3,val,0.7613333463668823,0.6819999814033508,0.4180000126361847,0.7613300879796346,13.722000122070312,178,70,0,248,1400,2800,105,316.53998851776123
runs/exploratory/xor_delay_control_matrix_v1/XOR_d0_h35_K3_sw10_seed42_thr0.3_obsall_time,primary,3,35,mlp,d0,42,val,0.8666666746139526,0.800000011920929,0.6520000100135803,0.8662155270576477,11.092000007629395,1438,70,0,1508,1400,2800,1330,315.8400058746338
runs/exploratory/xor_delay_control_matrix_v1/XOR_d0_h35_K3_sw10_seed42_thr0.3_obsall_time_rolinear,primary,3,35,linear,d0,42,val,0.7566666603088379,0.6980000138282776,0.38199999928474426,0.7593087752660116,11.404000282287598,178,70,0,248,1400,2800,105,315.8400058746338
